step,episode,ret,len,true_success,classifier_success,interv_frac
32,0,1.0,32,1.0,1.0,1.0
73,1,1.0,41,1.0,1.0,1.0
100,2,1.0,27,0.0,1.0,1.0
220,3,0.0,120,1.0,0.0,0.9666666666666667
264,4,1.0,44,1.0,1.0,0.9318181818181818
301,5,1.0,37,1.0,1.0,0.972972972972973
331,6,1.0,30,0.0,1.0,1.0
364,7,1.0,33,1.0,1.0,0.9090909090909091
394,8,1.0,30,1.0,1.0,1.0
514,9,0.0,120,0.0,0.0,0.975
543,10,1.0,29,0.0,1.0,0.9310344827586207
575,11,1.0,32,0.0,1.0,0.9375
611,12,1.0,36,0.0,1.0,1.0
642,13,1.0,31,1.0,1.0,1.0
674,14,1.0,32,1.0,1.0,0.9375
794,15,0.0,120,1.0,0.0,0.9583333333333334
841,16,1.0,47,1.0,1.0,0.8936170212765957
879,17,1.0,38,0.0,1.0,0.9473684210526315
911,18,1.0,32,0.0,1.0,0.90625
945,19,1.0,34,1.0,1.0,0.9705882352941176
975,20,1.0,30,0.0,1.0,0.9333333333333333
1005,21,1.0,30,0.0,1.0,0.8666666666666667
1045,22,1.0,40,0.0,1.0,0.875
1076,23,1.0,31,1.0,1.0,0.9032258064516129
1111,24,1.0,35,0.0,1.0,0.9142857142857143
1141,25,1.0,30,0.0,1.0,0.9333333333333333
1261,26,0.0,120,0.0,0.0,0.9333333333333333
1292,27,1.0,31,0.0,1.0,0.967741935483871
1324,28,1.0,32,1.0,1.0,1.0
1391,29,1.0,67,1.0,1.0,0.9402985074626866
1511,30,0.0,120,1.0,0.0,0.9666666666666667
1631,31,0.0,120,0.0,0.0,0.95
1670,32,1.0,39,1.0,1.0,0.9743589743589743
1700,33,1.0,30,1.0,1.0,0.9666666666666667
1734,34,1.0,34,1.0,1.0,0.9117647058823529
1763,35,1.0,29,0.0,1.0,0.8275862068965517
1802,36,1.0,39,1.0,1.0,0.7948717948717948
1838,37,1.0,36,1.0,1.0,0.9166666666666666
1869,38,1.0,31,0.0,1.0,0.9032258064516129
1908,39,1.0,39,1.0,1.0,0.8974358974358975
1937,40,1.0,29,0.0,1.0,0.9655172413793104
1971,41,1.0,34,1.0,1.0,0.7647058823529411
2091,42,0.0,120,1.0,0.0,0.8916666666666667
2120,43,1.0,29,0.0,1.0,0.8620689655172413
