reward: learned classifier, tau=0.80, side_check=False
interventions: True

demo buffer: 664 transitions from 20 demonstrations
step   1000 | eval true success 0.00 | classifier says 0.00 | false-pos gap +0.00 | intervention rate 0.96 | rl_buf 1000 | 15s
step   2000 | eval true success 0.00 | classifier says 0.00 | false-pos gap +0.00 | intervention rate 0.92 | rl_buf 2000 | 41s
step   3000 | eval true success 0.00 | classifier says 0.00 | false-pos gap +0.00 | intervention rate 0.84 | rl_buf 3000 | 66s
step   4000 | eval true success 0.00 | classifier says 0.00 | false-pos gap +0.00 | intervention rate 0.79 | rl_buf 4000 | 93s
step   5000 | eval true success 0.00 | classifier says 0.00 | false-pos gap +0.00 | intervention rate 0.76 | rl_buf 5000 | 120s
step   6000 | eval true success 0.00 | classifier says 0.00 | false-pos gap +0.00 | intervention rate 0.67 | rl_buf 6000 | 151s
step   7000 | eval true success 0.03 | classifier says 0.07 | false-pos gap +0.03 | intervention rate 0.60 | rl_buf 7000 | 182s
step   8000 | eval true success 0.00 | classifier says 0.00 | false-pos gap +0.00 | intervention rate 0.50 | rl_buf 8000 | 214s
step   9000 | eval true success 0.00 | classifier says 0.03 | false-pos gap +0.03 | intervention rate 0.41 | rl_buf 9000 | 245s
step  10000 | eval true success 0.03 | classifier says 0.20 | false-pos gap +0.17 | intervention rate 0.35 | rl_buf 10000 | 276s
step  11000 | eval true success 0.03 | classifier says 0.33 | false-pos gap +0.30 | intervention rate 0.19 | rl_buf 11000 | 306s
step  12000 | eval true success 0.00 | classifier says 0.17 | false-pos gap +0.17 | intervention rate 0.18 | rl_buf 12000 | 333s
step  13000 | eval true success 0.07 | classifier says 0.20 | false-pos gap +0.13 | intervention rate 0.19 | rl_buf 13000 | 360s
step  14000 | eval true success 0.10 | classifier says 0.43 | false-pos gap +0.33 | intervention rate 0.11 | rl_buf 14000 | 386s
step  15000 | eval true success 0.17 | classifier says 0.93 | false-pos gap +0.77 | intervention rate 0.16 | rl_buf 15000 | 413s
step  16000 | eval true success 0.27 | classifier says 1.00 | false-pos gap +0.73 | intervention rate 0.18 | rl_buf 16000 | 440s
step  17000 | eval true success 0.10 | classifier says 0.57 | false-pos gap +0.47 | intervention rate 0.17 | rl_buf 17000 | 466s
step  18000 | eval true success 0.23 | classifier says 0.90 | false-pos gap +0.67 | intervention rate 0.17 | rl_buf 18000 | 493s
step  19000 | eval true success 0.17 | classifier says 0.57 | false-pos gap +0.40 | intervention rate 0.11 | rl_buf 19000 | 520s
step  20000 | eval true success 0.10 | classifier says 0.47 | false-pos gap +0.37 | intervention rate 0.07 | rl_buf 20000 | 548s
step  21000 | eval true success 0.20 | classifier says 0.53 | false-pos gap +0.33 | intervention rate 0.15 | rl_buf 21000 | 575s
step  22000 | eval true success 0.13 | classifier says 0.90 | false-pos gap +0.77 | intervention rate 0.12 | rl_buf 22000 | 603s
step  23000 | eval true success 0.17 | classifier says 0.50 | false-pos gap +0.33 | intervention rate 0.14 | rl_buf 23000 | 632s
step  24000 | eval true success 0.07 | classifier says 1.00 | false-pos gap +0.93 | intervention rate 0.13 | rl_buf 24000 | 659s
step  25000 | eval true success 0.07 | classifier says 0.80 | false-pos gap +0.73 | intervention rate 0.17 | rl_buf 25000 | 686s
step  26000 | eval true success 0.00 | classifier says 0.07 | false-pos gap +0.07 | intervention rate 0.08 | rl_buf 26000 | 713s
step  27000 | eval true success 0.13 | classifier says 1.00 | false-pos gap +0.87 | intervention rate 0.09 | rl_buf 27000 | 739s
step  28000 | eval true success 0.17 | classifier says 0.83 | false-pos gap +0.67 | intervention rate 0.18 | rl_buf 28000 | 758s
step  29000 | eval true success 0.30 | classifier says 0.87 | false-pos gap +0.57 | intervention rate 0.14 | rl_buf 29000 | 778s
step  30000 | eval true success 0.17 | classifier says 1.00 | false-pos gap +0.83 | intervention rate 0.17 | rl_buf 30000 | 797s

final eval (mean of last 3 checkpoints, 90 episodes, no human): true success 0.21, classifier says 0.90

final 50 training episodes: true success 0.24, intervention rate 0.14
log -> /Users/fredericazhao/Desktop/practice/RL/runs/abl_few-labels.csv
