step,episode,ret,len,true_success,classifier_success,interv_frac
32,0,1.0,32,1.0,1.0,1.0
71,1,1.0,39,1.0,1.0,1.0
101,2,1.0,30,1.0,1.0,1.0
134,3,1.0,33,1.0,1.0,0.9696969696969697
176,4,1.0,42,1.0,1.0,0.9761904761904762
216,5,1.0,40,1.0,1.0,0.975
247,6,1.0,31,1.0,1.0,0.9354838709677419
286,7,1.0,39,1.0,1.0,0.9487179487179487
314,8,1.0,28,1.0,1.0,1.0
346,9,1.0,32,1.0,1.0,1.0
374,10,1.0,28,1.0,1.0,0.8571428571428571
405,11,1.0,31,1.0,1.0,1.0
440,12,1.0,35,1.0,1.0,1.0
469,13,1.0,29,1.0,1.0,0.9310344827586207
499,14,1.0,30,1.0,1.0,0.9666666666666667
540,15,1.0,41,1.0,1.0,0.9512195121951219
583,16,1.0,43,1.0,1.0,0.9534883720930233
621,17,1.0,38,1.0,1.0,1.0
654,18,1.0,33,1.0,1.0,1.0
691,19,1.0,37,1.0,1.0,0.918918918918919
727,20,1.0,36,1.0,1.0,0.8611111111111112
759,21,1.0,32,1.0,1.0,1.0
797,22,1.0,38,1.0,1.0,0.8421052631578947
829,23,1.0,32,1.0,1.0,0.96875
865,24,1.0,36,1.0,1.0,0.9722222222222222
906,25,1.0,41,1.0,1.0,0.8780487804878049
940,26,1.0,34,1.0,1.0,0.8823529411764706
978,27,1.0,38,1.0,1.0,0.8421052631578947
1011,28,1.0,33,1.0,1.0,0.8484848484848485
1131,29,0.0,120,0.0,0.0,0.9833333333333333
1162,30,1.0,31,1.0,1.0,0.967741935483871
1194,31,1.0,32,1.0,1.0,0.90625
1237,32,1.0,43,1.0,1.0,0.9302325581395349
1273,33,1.0,36,1.0,1.0,0.8611111111111112
1303,34,1.0,30,1.0,1.0,1.0
1335,35,1.0,32,1.0,1.0,0.90625
1373,36,1.0,38,1.0,1.0,0.8947368421052632
1406,37,1.0,33,1.0,1.0,0.9696969696969697
1440,38,1.0,34,1.0,1.0,0.9705882352941176
1477,39,1.0,37,1.0,1.0,1.0
1510,40,1.0,33,1.0,1.0,0.9393939393939394
1547,41,1.0,37,1.0,1.0,0.8918918918918919
1580,42,1.0,33,1.0,1.0,0.9696969696969697
1611,43,1.0,31,1.0,1.0,0.8387096774193549
1641,44,1.0,30,1.0,1.0,0.9
1690,45,1.0,49,1.0,1.0,0.673469387755102
1723,46,1.0,33,1.0,1.0,0.9393939393939394
1756,47,1.0,33,1.0,1.0,0.8484848484848485
1797,48,1.0,41,1.0,1.0,0.8292682926829268
1828,49,1.0,31,1.0,1.0,0.9354838709677419
1861,50,1.0,33,1.0,1.0,0.7575757575757576
1894,51,1.0,33,1.0,1.0,0.9090909090909091
1942,52,1.0,48,1.0,1.0,0.8125
1975,53,1.0,33,1.0,1.0,0.8181818181818182
2016,54,1.0,41,1.0,1.0,0.8536585365853658
2049,55,1.0,33,1.0,1.0,0.9393939393939394
2079,56,1.0,30,1.0,1.0,0.8666666666666667
2119,57,1.0,40,0.0,1.0,0.825
2155,58,1.0,36,1.0,1.0,0.8055555555555556
2189,59,1.0,34,1.0,1.0,0.8235294117647058
2228,60,1.0,39,1.0,1.0,0.7948717948717948
2270,61,1.0,42,0.0,1.0,0.5952380952380952
2309,62,1.0,39,1.0,1.0,0.8205128205128205
2350,63,1.0,41,1.0,1.0,0.8536585365853658
2385,64,1.0,35,1.0,1.0,0.9142857142857143
2428,65,1.0,43,1.0,1.0,0.8372093023255814
2469,66,1.0,41,1.0,1.0,0.6585365853658537
2503,67,1.0,34,1.0,1.0,0.9117647058823529
2532,68,1.0,29,1.0,1.0,0.8620689655172413
2570,69,1.0,38,0.0,1.0,0.6578947368421053
2605,70,1.0,35,1.0,1.0,0.8571428571428571
2650,71,1.0,45,1.0,1.0,0.7333333333333333
2770,72,0.0,120,0.0,0.0,0.6583333333333333
2803,73,1.0,33,1.0,1.0,0.7575757575757576
2832,74,1.0,29,1.0,1.0,0.9310344827586207
2864,75,1.0,32,1.0,1.0,0.8125
2901,76,1.0,37,1.0,1.0,0.7027027027027027
2933,77,1.0,32,1.0,1.0,0.78125
2973,78,1.0,40,1.0,1.0,0.775
3007,79,1.0,34,1.0,1.0,0.7058823529411765
3048,80,1.0,41,1.0,1.0,0.8536585365853658
3086,81,1.0,38,1.0,1.0,0.7631578947368421
3131,82,1.0,45,1.0,1.0,0.7111111111111111
3166,83,1.0,35,0.0,1.0,0.7142857142857143
3202,84,1.0,36,1.0,1.0,0.6944444444444444
3238,85,1.0,36,1.0,1.0,0.7222222222222222
3272,86,1.0,34,1.0,1.0,0.7352941176470589
3392,87,0.0,120,0.0,0.0,0.8916666666666667
3434,88,1.0,42,1.0,1.0,0.5952380952380952
3465,89,1.0,31,1.0,1.0,0.7741935483870968
3585,90,0.0,120,0.0,0.0,0.8
3625,91,1.0,40,1.0,1.0,0.45
3745,92,0.0,120,0.0,0.0,0.85
3778,93,1.0,33,1.0,1.0,0.8484848484848485
3813,94,1.0,35,0.0,1.0,0.4857142857142857
3861,95,1.0,48,1.0,1.0,0.5625
3909,96,1.0,48,1.0,1.0,0.6875
3939,97,1.0,30,1.0,1.0,0.9
3975,98,1.0,36,1.0,1.0,0.6944444444444444
4009,99,1.0,34,1.0,1.0,0.7352941176470589
4050,100,1.0,41,1.0,1.0,0.4146341463414634
4092,101,1.0,42,1.0,1.0,0.5476190476190477
4154,102,1.0,62,1.0,1.0,0.4838709677419355
4274,103,0.0,120,0.0,0.0,0.8666666666666667
4310,104,1.0,36,1.0,1.0,0.7777777777777778
4351,105,1.0,41,1.0,1.0,0.6829268292682927
4396,106,1.0,45,1.0,1.0,0.8
4431,107,1.0,35,1.0,1.0,0.8285714285714286
4472,108,1.0,41,1.0,1.0,0.7560975609756098
4505,109,1.0,33,1.0,1.0,0.5757575757575758
4625,110,0.0,120,0.0,0.0,0.8
4658,111,1.0,33,1.0,1.0,0.696969696969697
4693,112,1.0,35,1.0,1.0,0.6571428571428571
4739,113,1.0,46,1.0,1.0,0.6956521739130435
4772,114,1.0,33,1.0,1.0,0.7272727272727273
4844,115,1.0,72,1.0,1.0,0.3611111111111111
4901,116,1.0,57,1.0,1.0,0.7894736842105263
4942,117,1.0,41,1.0,1.0,0.5609756097560976
4984,118,1.0,42,1.0,1.0,0.5952380952380952
5021,119,1.0,37,1.0,1.0,0.7567567567567568
5062,120,1.0,41,1.0,1.0,0.7073170731707317
5124,121,1.0,62,1.0,1.0,0.5483870967741935
5244,122,0.0,120,0.0,0.0,0.7333333333333333
5283,123,1.0,39,1.0,1.0,0.5641025641025641
5337,124,1.0,54,1.0,1.0,0.5925925925925926
5385,125,1.0,48,1.0,1.0,0.5625
