step,episode,ret,len,true_success,classifier_success,interv_frac
120,0,0.0,120,0.0,0.0,0.0
240,1,0.0,120,0.0,0.0,0.0
360,2,0.0,120,0.0,0.0,0.0
480,3,0.0,120,0.0,0.0,0.0
600,4,0.0,120,0.0,0.0,0.0
720,5,0.0,120,0.0,0.0,0.0
840,6,0.0,120,0.0,0.0,0.0
960,7,0.0,120,0.0,0.0,0.0
1080,8,0.0,120,0.0,0.0,0.0
1200,9,0.0,120,0.0,0.0,0.0
1320,10,0.0,120,0.0,0.0,0.0
1440,11,0.0,120,0.0,0.0,0.0
1560,12,0.0,120,0.0,0.0,0.0
1680,13,0.0,120,0.0,0.0,0.0
1800,14,0.0,120,0.0,0.0,0.0
1920,15,0.0,120,0.0,0.0,0.0
2040,16,0.0,120,0.0,0.0,0.0
2160,17,0.0,120,0.0,0.0,0.0
2280,18,0.0,120,0.0,0.0,0.0
2400,19,0.0,120,0.0,0.0,0.0
2520,20,0.0,120,0.0,0.0,0.0
2640,21,0.0,120,0.0,0.0,0.0
2760,22,0.0,120,0.0,0.0,0.0
2880,23,0.0,120,0.0,0.0,0.0
3000,24,0.0,120,0.0,0.0,0.0
3120,25,0.0,120,0.0,0.0,0.0
3240,26,0.0,120,0.0,0.0,0.0
3360,27,0.0,120,0.0,0.0,0.0
3480,28,0.0,120,0.0,0.0,0.0
3600,29,0.0,120,0.0,0.0,0.0
3720,30,0.0,120,0.0,0.0,0.0
3840,31,0.0,120,0.0,0.0,0.0
3960,32,0.0,120,0.0,0.0,0.0
4080,33,0.0,120,0.0,0.0,0.0
4200,34,0.0,120,0.0,0.0,0.0
4320,35,0.0,120,0.0,0.0,0.0
4440,36,0.0,120,0.0,0.0,0.0
4560,37,0.0,120,0.0,0.0,0.0
4680,38,0.0,120,0.0,0.0,0.0
4800,39,0.0,120,0.0,0.0,0.0
4920,40,0.0,120,0.0,0.0,0.0
4982,41,1.0,62,1.0,1.0,0.0
5102,42,0.0,120,0.0,0.0,0.0
5222,43,0.0,120,0.0,0.0,0.0
5267,44,1.0,45,1.0,1.0,0.0
5387,45,0.0,120,0.0,0.0,0.0
5448,46,1.0,61,0.0,1.0,0.0
5568,47,0.0,120,0.0,0.0,0.0
5688,48,0.0,120,0.0,0.0,0.0
5808,49,0.0,120,0.0,0.0,0.0
5928,50,0.0,120,0.0,0.0,0.0
6048,51,0.0,120,0.0,0.0,0.0
6168,52,0.0,120,0.0,0.0,0.0
6288,53,0.0,120,0.0,0.0,0.0
6382,54,1.0,94,0.0,1.0,0.0
6502,55,0.0,120,1.0,0.0,0.0
6587,56,1.0,85,1.0,1.0,0.0
6707,57,0.0,120,0.0,0.0,0.0
6762,58,1.0,55,1.0,1.0,0.0
6882,59,0.0,120,0.0,0.0,0.0
6949,60,1.0,67,1.0,1.0,0.0
7069,61,0.0,120,0.0,0.0,0.0
7189,62,0.0,120,0.0,0.0,0.0
7274,63,1.0,85,1.0,1.0,0.0
7394,64,0.0,120,0.0,0.0,0.0
7514,65,0.0,120,0.0,0.0,0.0
7634,66,0.0,120,0.0,0.0,0.0
7754,67,0.0,120,0.0,0.0,0.0
7833,68,1.0,79,1.0,1.0,0.0
7953,69,0.0,120,0.0,0.0,0.0
8073,70,0.0,120,0.0,0.0,0.0
8169,71,1.0,96,1.0,1.0,0.0
8289,72,0.0,120,0.0,0.0,0.0
8409,73,0.0,120,0.0,0.0,0.0
8529,74,0.0,120,0.0,0.0,0.0
8649,75,0.0,120,0.0,0.0,0.0
8769,76,0.0,120,0.0,0.0,0.0
8889,77,0.0,120,0.0,0.0,0.0
8993,78,1.0,104,1.0,1.0,0.0
9109,79,1.0,116,1.0,1.0,0.0
9180,80,1.0,71,1.0,1.0,0.0
9255,81,1.0,75,1.0,1.0,0.0
9308,82,1.0,53,1.0,1.0,0.0
9361,83,1.0,53,1.0,1.0,0.0
9422,84,1.0,61,1.0,1.0,0.0
9542,85,0.0,120,0.0,0.0,0.0
9626,86,1.0,84,1.0,1.0,0.0
9746,87,0.0,120,0.0,0.0,0.0
9808,88,1.0,62,1.0,1.0,0.0
9868,89,1.0,60,1.0,1.0,0.0
9917,90,1.0,49,0.0,1.0,0.0
9962,91,1.0,45,1.0,1.0,0.0
10067,92,1.0,105,1.0,1.0,0.0
10124,93,1.0,57,1.0,1.0,0.0
10173,94,1.0,49,1.0,1.0,0.0
10229,95,1.0,56,1.0,1.0,0.0
10310,96,1.0,81,1.0,1.0,0.0
10392,97,1.0,82,1.0,1.0,0.0
10450,98,1.0,58,0.0,1.0,0.0
10508,99,1.0,58,1.0,1.0,0.0
10577,100,1.0,69,1.0,1.0,0.0
10628,101,1.0,51,1.0,1.0,0.0
10682,102,1.0,54,1.0,1.0,0.0
10802,103,0.0,120,0.0,0.0,0.0
10837,104,1.0,35,1.0,1.0,0.0
10937,105,1.0,100,1.0,1.0,0.0
10998,106,1.0,61,1.0,1.0,0.0
11060,107,1.0,62,1.0,1.0,0.0
11106,108,1.0,46,1.0,1.0,0.0
11176,109,1.0,70,1.0,1.0,0.0
11225,110,1.0,49,1.0,1.0,0.0
11345,111,0.0,120,0.0,0.0,0.0
11448,112,1.0,103,1.0,1.0,0.0
11449,113,1.0,1,0.0,1.0,0.0
11515,114,1.0,66,1.0,1.0,0.0
11580,115,1.0,65,1.0,1.0,0.0
11683,116,1.0,103,1.0,1.0,0.0
11721,117,1.0,38,1.0,1.0,0.0
11775,118,1.0,54,1.0,1.0,0.0
11818,119,1.0,43,1.0,1.0,0.0
11880,120,1.0,62,1.0,1.0,0.0
12000,121,0.0,120,0.0,0.0,0.0
12048,122,1.0,48,1.0,1.0,0.0
12101,123,1.0,53,0.0,1.0,0.0
12144,124,1.0,43,1.0,1.0,0.0
12194,125,1.0,50,1.0,1.0,0.0
12242,126,1.0,48,1.0,1.0,0.0
12362,127,0.0,120,0.0,0.0,0.0
12398,128,1.0,36,1.0,1.0,0.0
12435,129,1.0,37,1.0,1.0,0.0
12471,130,1.0,36,1.0,1.0,0.0
12513,131,1.0,42,1.0,1.0,0.0
12578,132,1.0,65,1.0,1.0,0.0
12620,133,1.0,42,1.0,1.0,0.0
12740,134,0.0,120,0.0,0.0,0.0
12786,135,1.0,46,1.0,1.0,0.0
12832,136,1.0,46,1.0,1.0,0.0
12870,137,1.0,38,1.0,1.0,0.0
12905,138,1.0,35,1.0,1.0,0.0
12938,139,1.0,33,1.0,1.0,0.0
12985,140,1.0,47,1.0,1.0,0.0
13033,141,1.0,48,1.0,1.0,0.0
13068,142,1.0,35,1.0,1.0,0.0
