step,episode,ret,len,true_success,classifier_success,interv_frac
33,0,1.0,33,1.0,1.0,0.9393939393939394
73,1,1.0,40,1.0,1.0,0.825
113,2,1.0,40,1.0,1.0,0.775
161,3,1.0,48,1.0,1.0,0.6458333333333334
211,4,1.0,50,1.0,1.0,0.82
268,5,1.0,57,1.0,1.0,0.7192982456140351
302,6,1.0,34,1.0,1.0,0.8235294117647058
348,7,1.0,46,1.0,1.0,0.8260869565217391
385,8,1.0,37,1.0,1.0,0.6756756756756757
423,9,1.0,38,1.0,1.0,0.7631578947368421
457,10,1.0,34,1.0,1.0,0.7352941176470589
496,11,1.0,39,1.0,1.0,0.6923076923076923
549,12,1.0,53,1.0,1.0,0.7547169811320755
596,13,1.0,47,1.0,1.0,0.6808510638297872
631,14,1.0,35,1.0,1.0,0.6857142857142857
673,15,1.0,42,1.0,1.0,0.7857142857142857
721,16,1.0,48,1.0,1.0,0.6666666666666666
766,17,1.0,45,1.0,1.0,0.7111111111111111
823,18,1.0,57,1.0,1.0,0.631578947368421
913,19,1.0,90,1.0,1.0,0.6555555555555556
950,20,1.0,37,1.0,1.0,0.8108108108108109
1009,21,1.0,59,1.0,1.0,0.4745762711864407
1071,22,1.0,62,1.0,1.0,0.5967741935483871
1131,23,1.0,60,1.0,1.0,0.5833333333333334
1173,24,1.0,42,1.0,1.0,0.8095238095238095
1210,25,1.0,37,1.0,1.0,0.6756756756756757
1257,26,1.0,47,1.0,1.0,0.5106382978723404
1293,27,1.0,36,1.0,1.0,0.6666666666666666
1352,28,1.0,59,1.0,1.0,0.5254237288135594
1412,29,1.0,60,1.0,1.0,0.5333333333333333
1483,30,1.0,71,1.0,1.0,0.3380281690140845
1565,31,1.0,82,1.0,1.0,0.4024390243902439
1685,32,0.0,120,0.0,0.0,0.44166666666666665
1805,33,0.0,120,0.0,0.0,0.43333333333333335
1878,34,1.0,73,1.0,1.0,0.3424657534246575
1998,35,0.0,120,0.0,0.0,0.4
2053,36,1.0,55,1.0,1.0,0.6363636363636364
2173,37,0.0,120,0.0,0.0,0.4666666666666667
2205,38,1.0,32,1.0,1.0,0.90625
2287,39,1.0,82,1.0,1.0,0.4024390243902439
2407,40,0.0,120,0.0,0.0,0.4
2527,41,0.0,120,0.0,0.0,0.6666666666666666
2569,42,1.0,42,1.0,1.0,0.6666666666666666
2689,43,0.0,120,0.0,0.0,0.4083333333333333
2736,44,1.0,47,1.0,1.0,0.5106382978723404
2856,45,0.0,120,0.0,0.0,0.4166666666666667
2976,46,0.0,120,0.0,0.0,0.5916666666666667
3096,47,0.0,120,0.0,0.0,0.6916666666666667
3216,48,0.0,120,0.0,0.0,0.5333333333333333
3254,49,1.0,38,1.0,1.0,0.631578947368421
3313,50,1.0,59,1.0,1.0,0.2711864406779661
3420,51,1.0,107,1.0,1.0,0.22429906542056074
3540,52,0.0,120,0.0,0.0,0.4666666666666667
3596,53,1.0,56,1.0,1.0,0.3392857142857143
