step,episode,ret,len,true_success,classifier_success,interv_frac
33,0,1.0,33,1.0,1.0,0.9393939393939394
73,1,1.0,40,1.0,1.0,0.825
112,2,1.0,39,1.0,1.0,0.7692307692307693
160,3,1.0,48,1.0,1.0,0.6458333333333334
206,4,1.0,46,1.0,1.0,0.8260869565217391
262,5,1.0,56,1.0,1.0,0.75
294,6,1.0,32,1.0,1.0,0.84375
335,7,1.0,41,0.0,1.0,0.8048780487804879
369,8,1.0,34,1.0,1.0,0.9117647058823529
411,9,1.0,42,1.0,1.0,0.7619047619047619
445,10,1.0,34,1.0,1.0,0.7352941176470589
483,11,1.0,38,1.0,1.0,0.7105263157894737
553,12,1.0,70,1.0,1.0,0.6285714285714286
611,13,1.0,58,1.0,1.0,0.603448275862069
650,14,1.0,39,1.0,1.0,0.717948717948718
700,15,1.0,50,1.0,1.0,0.76
747,16,1.0,47,1.0,1.0,0.6808510638297872
803,17,1.0,56,1.0,1.0,0.6785714285714286
838,18,1.0,35,1.0,1.0,0.8857142857142857
921,19,1.0,83,1.0,1.0,0.5301204819277109
953,20,1.0,32,1.0,1.0,0.84375
1018,21,1.0,65,1.0,1.0,0.38461538461538464
1083,22,1.0,65,0.0,1.0,0.6307692307692307
1132,23,1.0,49,1.0,1.0,0.6938775510204082
1201,24,1.0,69,0.0,1.0,0.5797101449275363
1250,25,1.0,49,1.0,1.0,0.6122448979591837
1290,26,1.0,40,1.0,1.0,0.55
1354,27,1.0,64,1.0,1.0,0.40625
1403,28,1.0,49,1.0,1.0,0.673469387755102
1483,29,1.0,80,1.0,1.0,0.3875
1545,30,1.0,62,0.0,1.0,0.4032258064516129
1596,31,1.0,51,1.0,1.0,0.5882352941176471
1656,32,1.0,60,1.0,1.0,0.5
1701,33,1.0,45,1.0,1.0,0.37777777777777777
1758,34,1.0,57,1.0,1.0,0.2982456140350877
1802,35,1.0,44,1.0,1.0,0.5681818181818182
1922,36,0.0,120,0.0,0.0,0.5666666666666667
2042,37,0.0,120,0.0,0.0,0.45
2085,38,1.0,43,1.0,1.0,0.5813953488372093
2166,39,1.0,81,1.0,1.0,0.48148148148148145
2206,40,1.0,40,1.0,1.0,0.6
2243,41,1.0,37,1.0,1.0,0.7567567567567568
2290,42,1.0,47,0.0,1.0,0.5319148936170213
2342,43,1.0,52,1.0,1.0,0.23076923076923078
2462,44,0.0,120,0.0,0.0,0.5083333333333333
2582,45,0.0,120,0.0,0.0,0.6
2701,46,1.0,119,0.0,1.0,0.47058823529411764
2743,47,1.0,42,0.0,1.0,0.5714285714285714
2863,48,0.0,120,0.0,0.0,0.425
2983,49,0.0,120,0.0,0.0,0.725
3103,50,0.0,120,0.0,0.0,0.6916666666666667
3155,51,1.0,52,1.0,1.0,0.46153846153846156
3275,52,0.0,120,0.0,0.0,0.5083333333333333
3395,53,0.0,120,0.0,0.0,0.6333333333333333
3485,54,1.0,90,0.0,1.0,0.2777777777777778
