step,episode,ret,len,true_success,classifier_success,interv_frac
46,0,1.0,46,1.0,1.0,0.8695652173913043
114,1,1.0,68,1.0,1.0,0.6617647058823529
167,2,1.0,53,1.0,1.0,0.7169811320754716
227,3,1.0,60,1.0,1.0,0.8
288,4,1.0,61,1.0,1.0,0.7377049180327869
363,5,1.0,75,1.0,1.0,0.6266666666666667
422,6,1.0,59,1.0,1.0,0.7796610169491526
470,7,1.0,48,1.0,1.0,0.7916666666666666
556,8,1.0,86,1.0,1.0,0.5116279069767442
600,9,1.0,44,1.0,1.0,0.7045454545454546
656,10,1.0,56,1.0,1.0,0.6607142857142857
694,11,1.0,38,1.0,1.0,0.8421052631578947
752,12,1.0,58,1.0,1.0,0.6379310344827587
805,13,1.0,53,1.0,1.0,0.6792452830188679
851,14,1.0,46,1.0,1.0,0.6956521739130435
912,15,1.0,61,1.0,1.0,0.6557377049180327
967,16,1.0,55,1.0,1.0,0.6909090909090909
1022,17,1.0,55,1.0,1.0,0.6363636363636364
1068,18,1.0,46,1.0,1.0,0.6739130434782609
1129,19,1.0,61,1.0,1.0,0.5901639344262295
1175,20,1.0,46,1.0,1.0,0.717391304347826
1230,21,1.0,55,1.0,1.0,0.6363636363636364
1281,22,1.0,51,1.0,1.0,0.6274509803921569
1330,23,1.0,49,1.0,1.0,0.7142857142857143
1369,24,1.0,39,1.0,1.0,0.8205128205128205
1439,25,1.0,70,1.0,1.0,0.5428571428571428
1493,26,1.0,54,1.0,1.0,0.6481481481481481
1560,27,1.0,67,1.0,1.0,0.6119402985074627
1619,28,1.0,59,1.0,1.0,0.6610169491525424
1688,29,1.0,69,0.0,1.0,0.4782608695652174
1764,30,1.0,76,0.0,1.0,0.4342105263157895
1807,31,1.0,43,0.0,1.0,0.5813953488372093
1869,32,1.0,62,1.0,1.0,0.3709677419354839
1913,33,1.0,44,1.0,1.0,0.6590909090909091
1973,34,1.0,60,1.0,1.0,0.5
2037,35,1.0,64,1.0,1.0,0.609375
2117,36,1.0,80,1.0,1.0,0.5375
2237,37,0.0,120,0.0,0.0,0.35833333333333334
2289,38,1.0,52,0.0,1.0,0.6346153846153846
2409,39,0.0,120,0.0,0.0,0.4
2475,40,1.0,66,0.0,1.0,0.48484848484848486
2536,41,1.0,61,1.0,1.0,0.5573770491803278
2608,42,1.0,72,1.0,1.0,0.375
2657,43,1.0,49,1.0,1.0,0.3673469387755102
2777,44,0.0,120,0.0,0.0,0.4166666666666667
2836,45,1.0,59,0.0,1.0,0.4067796610169492
2895,46,1.0,59,1.0,1.0,0.5254237288135594
2979,47,1.0,84,1.0,1.0,0.36904761904761907
3015,48,1.0,36,1.0,1.0,0.5555555555555556
3059,49,1.0,44,1.0,1.0,0.5
3109,50,1.0,50,1.0,1.0,0.58
3229,51,0.0,120,0.0,0.0,0.35
3283,52,1.0,54,0.0,1.0,0.46296296296296297
3345,53,1.0,62,1.0,1.0,0.4032258064516129
3392,54,1.0,47,1.0,1.0,0.48936170212765956
3475,55,1.0,83,0.0,1.0,0.3373493975903614
3595,56,0.0,120,0.0,0.0,0.31666666666666665
3669,57,1.0,74,1.0,1.0,0.32432432432432434
3789,58,0.0,120,0.0,0.0,0.3333333333333333
3909,59,0.0,120,0.0,0.0,0.38333333333333336
3980,60,1.0,71,1.0,1.0,0.29577464788732394
4064,61,1.0,84,1.0,1.0,0.4523809523809524
4184,62,0.0,120,0.0,0.0,0.26666666666666666
4280,63,1.0,96,1.0,1.0,0.3229166666666667
4400,64,0.0,120,0.0,0.0,0.30833333333333335
4501,65,1.0,101,1.0,1.0,0.39603960396039606
4583,66,1.0,82,1.0,1.0,0.1951219512195122
4703,67,0.0,120,0.0,0.0,0.13333333333333333
4803,68,1.0,100,1.0,1.0,0.21
4892,69,1.0,89,1.0,1.0,0.3595505617977528
5012,70,0.0,120,0.0,0.0,0.26666666666666666
5132,71,0.0,120,0.0,0.0,0.13333333333333333
5252,72,0.0,120,0.0,0.0,0.06666666666666667
5356,73,1.0,104,1.0,1.0,0.3076923076923077
5436,74,1.0,80,1.0,1.0,0.2
5513,75,1.0,77,1.0,1.0,0.15584415584415584
5633,76,0.0,120,0.0,0.0,0.0
5752,77,1.0,119,1.0,1.0,0.47058823529411764
5807,78,1.0,55,1.0,1.0,0.4
5927,79,0.0,120,0.0,0.0,0.13333333333333333
5984,80,1.0,57,1.0,1.0,0.3508771929824561
6060,81,1.0,76,1.0,1.0,0.10526315789473684
6121,82,1.0,61,1.0,1.0,0.13114754098360656
6220,83,1.0,99,1.0,1.0,0.15151515151515152
6284,84,1.0,64,1.0,1.0,0.28125
6370,85,1.0,86,1.0,1.0,0.23255813953488372
6443,86,1.0,73,1.0,1.0,0.2191780821917808
6563,87,0.0,120,0.0,0.0,0.26666666666666666
6656,88,1.0,93,1.0,1.0,0.1935483870967742
6700,89,1.0,44,0.0,1.0,0.18181818181818182
6736,90,1.0,36,1.0,1.0,0.3333333333333333
6824,91,1.0,88,1.0,1.0,0.2727272727272727
6878,92,1.0,54,1.0,1.0,0.14814814814814814
6959,93,1.0,81,1.0,1.0,0.14814814814814814
6997,94,1.0,38,1.0,1.0,0.5
7048,95,1.0,51,1.0,1.0,0.1568627450980392
7089,96,1.0,41,1.0,1.0,0.3902439024390244
7209,97,0.0,120,0.0,0.0,0.13333333333333333
7250,98,1.0,41,1.0,1.0,0.1951219512195122
7370,99,0.0,120,0.0,0.0,0.13333333333333333
7470,100,1.0,100,1.0,1.0,0.24
7538,101,1.0,68,1.0,1.0,0.19117647058823528
7577,102,1.0,39,1.0,1.0,0.41025641025641024
7679,103,1.0,102,1.0,1.0,0.1568627450980392
7799,104,0.0,120,0.0,0.0,0.4
7858,105,1.0,59,1.0,1.0,0.4067796610169492
7901,106,1.0,43,1.0,1.0,0.27906976744186046
8021,107,0.0,120,0.0,0.0,0.2
8079,108,1.0,58,1.0,1.0,0.13793103448275862
8199,109,0.0,120,0.0,0.0,0.26666666666666666
8261,110,1.0,62,1.0,1.0,0.25806451612903225
