step,episode,ret,len,true_success,classifier_success,interv_frac
31,0,1.0,31,1.0,1.0,1.0
68,1,1.0,37,1.0,1.0,1.0
98,2,1.0,30,1.0,1.0,1.0
127,3,1.0,29,1.0,1.0,0.9655172413793104
171,4,1.0,44,1.0,1.0,0.9772727272727273
207,5,1.0,36,1.0,1.0,0.9722222222222222
237,6,1.0,30,1.0,1.0,0.9333333333333333
272,7,1.0,35,1.0,1.0,0.9142857142857143
301,8,1.0,29,1.0,1.0,1.0
331,9,1.0,30,1.0,1.0,1.0
360,10,1.0,29,1.0,1.0,0.8620689655172413
391,11,1.0,31,1.0,1.0,1.0
429,12,1.0,38,1.0,1.0,0.9736842105263158
461,13,1.0,32,1.0,1.0,0.9375
492,14,1.0,31,1.0,1.0,0.967741935483871
532,15,1.0,40,1.0,1.0,0.925
573,16,1.0,41,1.0,1.0,0.975609756097561
609,17,1.0,36,1.0,1.0,1.0
640,18,1.0,31,1.0,1.0,1.0
679,19,1.0,39,1.0,1.0,0.9230769230769231
720,20,1.0,41,1.0,1.0,0.8780487804878049
754,21,1.0,34,1.0,1.0,0.9411764705882353
800,22,1.0,46,1.0,1.0,0.8913043478260869
834,23,1.0,34,1.0,1.0,0.9411764705882353
877,24,1.0,43,1.0,1.0,0.9069767441860465
909,25,1.0,32,1.0,1.0,0.875
943,26,1.0,34,1.0,1.0,0.9411764705882353
974,27,1.0,31,1.0,1.0,0.967741935483871
1008,28,1.0,34,1.0,1.0,0.8529411764705882
1050,29,1.0,42,1.0,1.0,0.9285714285714286
1081,30,1.0,31,1.0,1.0,0.9032258064516129
1112,31,1.0,31,1.0,1.0,0.9354838709677419
1152,32,1.0,40,1.0,1.0,0.95
1187,33,1.0,35,1.0,1.0,0.8571428571428571
1307,34,0.0,120,0.0,0.0,0.9666666666666667
1338,35,1.0,31,1.0,1.0,0.8064516129032258
1374,36,1.0,36,1.0,1.0,0.9722222222222222
1410,37,1.0,36,1.0,1.0,0.9722222222222222
1440,38,1.0,30,1.0,1.0,0.9666666666666667
1481,39,1.0,41,1.0,1.0,0.975609756097561
1515,40,1.0,34,1.0,1.0,0.8823529411764706
1545,41,1.0,30,1.0,1.0,0.9333333333333333
1585,42,1.0,40,1.0,1.0,0.9
1613,43,1.0,28,1.0,1.0,0.8928571428571429
1662,44,1.0,49,1.0,1.0,0.673469387755102
1694,45,1.0,32,1.0,1.0,0.9375
1729,46,1.0,35,1.0,1.0,0.8571428571428571
1766,47,1.0,37,1.0,1.0,0.8108108108108109
1802,48,1.0,36,1.0,1.0,1.0
1837,49,1.0,35,1.0,1.0,0.7142857142857143
1870,50,1.0,33,1.0,1.0,0.9090909090909091
1912,51,1.0,42,1.0,1.0,0.7857142857142857
1954,52,1.0,42,1.0,1.0,0.8333333333333334
1989,53,1.0,35,1.0,1.0,0.8285714285714286
2025,54,1.0,36,1.0,1.0,0.9166666666666666
2055,55,1.0,30,1.0,1.0,0.8666666666666667
2089,56,1.0,34,1.0,1.0,0.9117647058823529
2128,57,1.0,39,1.0,1.0,0.8205128205128205
2161,58,1.0,33,1.0,1.0,0.7575757575757576
2196,59,1.0,35,1.0,1.0,0.7714285714285715
2236,60,1.0,40,1.0,1.0,0.825
2270,61,1.0,34,1.0,1.0,0.7058823529411765
2306,62,1.0,36,1.0,1.0,0.7777777777777778
2339,63,1.0,33,1.0,1.0,0.9393939393939394
2374,64,1.0,35,1.0,1.0,0.9142857142857143
2425,65,1.0,51,1.0,1.0,0.7647058823529411
2462,66,1.0,37,1.0,1.0,0.6756756756756757
2496,67,1.0,34,1.0,1.0,0.9411764705882353
2528,68,1.0,32,1.0,1.0,0.9375
2564,69,1.0,36,1.0,1.0,0.8055555555555556
2601,70,1.0,37,1.0,1.0,0.7567567567567568
2643,71,1.0,42,1.0,1.0,0.7857142857142857
2685,72,1.0,42,1.0,1.0,0.5952380952380952
2738,73,1.0,53,1.0,1.0,0.5094339622641509
2776,74,1.0,38,1.0,1.0,0.7631578947368421
2808,75,1.0,32,1.0,1.0,0.8125
2844,76,1.0,36,1.0,1.0,0.8333333333333334
2881,77,1.0,37,1.0,1.0,0.7027027027027027
2913,78,1.0,32,1.0,1.0,0.78125
2953,79,1.0,40,1.0,1.0,0.775
3002,80,1.0,49,1.0,1.0,0.7551020408163265
3041,81,1.0,39,1.0,1.0,0.6410256410256411
3085,82,1.0,44,1.0,1.0,0.7045454545454546
3122,83,1.0,37,1.0,1.0,0.8378378378378378
3160,84,1.0,38,1.0,1.0,0.5789473684210527
3280,85,0.0,120,0.0,0.0,0.8833333333333333
3313,86,1.0,33,1.0,1.0,0.7575757575757576
3359,87,1.0,46,1.0,1.0,0.5869565217391305
3401,88,1.0,42,1.0,1.0,0.5952380952380952
3446,89,1.0,45,1.0,1.0,0.5555555555555556
3495,90,1.0,49,1.0,1.0,0.4897959183673469
3537,91,1.0,42,1.0,1.0,0.42857142857142855
3574,92,1.0,37,0.0,1.0,0.6756756756756757
