step,episode,ret,len,true_success,classifier_success,interv_frac
120,0,0.0,120,0.0,0.0,0.0
240,1,0.0,120,0.0,0.0,0.0
360,2,0.0,120,0.0,0.0,0.0
480,3,0.0,120,0.0,0.0,0.0
600,4,0.0,120,0.0,0.0,0.0
720,5,0.0,120,0.0,0.0,0.0
840,6,0.0,120,0.0,0.0,0.0
960,7,0.0,120,0.0,0.0,0.0
1080,8,0.0,120,0.0,0.0,0.0
1200,9,0.0,120,0.0,0.0,0.0
1320,10,0.0,120,0.0,0.0,0.0
1440,11,0.0,120,0.0,0.0,0.0
1560,12,0.0,120,0.0,0.0,0.0
1680,13,0.0,120,0.0,0.0,0.0
1800,14,0.0,120,0.0,0.0,0.0
1920,15,0.0,120,0.0,0.0,0.0
2040,16,0.0,120,0.0,0.0,0.0
2160,17,0.0,120,0.0,0.0,0.0
2280,18,0.0,120,0.0,0.0,0.0
2400,19,0.0,120,0.0,0.0,0.0
2520,20,0.0,120,0.0,0.0,0.0
2640,21,0.0,120,0.0,0.0,0.0
2760,22,0.0,120,0.0,0.0,0.0
2880,23,0.0,120,0.0,0.0,0.0
3000,24,0.0,120,0.0,0.0,0.0
3120,25,0.0,120,0.0,0.0,0.0
3240,26,0.0,120,0.0,0.0,0.0
3360,27,0.0,120,0.0,0.0,0.0
3480,28,0.0,120,0.0,0.0,0.0
3600,29,0.0,120,0.0,0.0,0.0
3720,30,0.0,120,0.0,0.0,0.0
3840,31,0.0,120,0.0,0.0,0.0
3960,32,0.0,120,0.0,0.0,0.0
4080,33,0.0,120,0.0,0.0,0.0
4200,34,0.0,120,0.0,0.0,0.0
4320,35,0.0,120,0.0,0.0,0.0
4440,36,0.0,120,0.0,0.0,0.0
4560,37,0.0,120,0.0,0.0,0.0
4680,38,0.0,120,0.0,0.0,0.0
4800,39,0.0,120,0.0,0.0,0.0
4920,40,0.0,120,0.0,0.0,0.0
5040,41,0.0,120,0.0,0.0,0.0
5160,42,0.0,120,0.0,0.0,0.0
5280,43,0.0,120,0.0,0.0,0.0
5400,44,0.0,120,0.0,0.0,0.0
5520,45,0.0,120,0.0,0.0,0.0
5640,46,0.0,120,0.0,0.0,0.0
5760,47,0.0,120,0.0,0.0,0.0
5880,48,0.0,120,0.0,0.0,0.0
5958,49,1.0,78,1.0,1.0,0.0
6078,50,0.0,120,0.0,0.0,0.0
6148,51,1.0,70,1.0,1.0,0.0
6268,52,0.0,120,0.0,0.0,0.0
6388,53,0.0,120,0.0,0.0,0.0
6508,54,0.0,120,0.0,0.0,0.0
6628,55,0.0,120,0.0,0.0,0.0
6680,56,1.0,52,1.0,1.0,0.0
6800,57,0.0,120,0.0,0.0,0.0
6920,58,0.0,120,0.0,0.0,0.0
7040,59,0.0,120,0.0,0.0,0.0
7160,60,0.0,120,0.0,0.0,0.0
7280,61,0.0,120,0.0,0.0,0.0
7400,62,0.0,120,0.0,0.0,0.0
7520,63,0.0,120,0.0,0.0,0.0
7640,64,0.0,120,0.0,0.0,0.0
7760,65,0.0,120,0.0,0.0,0.0
7880,66,0.0,120,0.0,0.0,0.0
8000,67,0.0,120,0.0,0.0,0.0
8120,68,0.0,120,0.0,0.0,0.0
8240,69,0.0,120,0.0,0.0,0.0
8360,70,0.0,120,0.0,0.0,0.0
8480,71,0.0,120,0.0,0.0,0.0
8584,72,1.0,104,1.0,1.0,0.0
8665,73,1.0,81,1.0,1.0,0.0
8785,74,0.0,120,0.0,0.0,0.0
8905,75,1.0,120,1.0,1.0,0.0
9025,76,0.0,120,0.0,0.0,0.0
9100,77,1.0,75,1.0,1.0,0.0
9172,78,1.0,72,1.0,1.0,0.0
9260,79,1.0,88,1.0,1.0,0.0
9380,80,0.0,120,0.0,0.0,0.0
9456,81,1.0,76,1.0,1.0,0.0
9534,82,1.0,78,1.0,1.0,0.0
9600,83,1.0,66,1.0,1.0,0.0
9720,84,0.0,120,0.0,0.0,0.0
9806,85,1.0,86,1.0,1.0,0.0
9865,86,1.0,59,1.0,1.0,0.0
9944,87,1.0,79,1.0,1.0,0.0
10010,88,1.0,66,1.0,1.0,0.0
10097,89,1.0,87,1.0,1.0,0.0
10140,90,1.0,43,1.0,1.0,0.0
10192,91,1.0,52,1.0,1.0,0.0
10241,92,1.0,49,1.0,1.0,0.0
10305,93,1.0,64,0.0,1.0,0.0
10368,94,1.0,63,1.0,1.0,0.0
10425,95,1.0,57,1.0,1.0,0.0
10526,96,1.0,101,1.0,1.0,0.0
10586,97,1.0,60,1.0,1.0,0.0
10641,98,1.0,55,1.0,1.0,0.0
10696,99,1.0,55,0.0,1.0,0.0
10754,100,1.0,58,0.0,1.0,0.0
10819,101,1.0,65,1.0,1.0,0.0
10901,102,1.0,82,1.0,1.0,0.0
10955,103,1.0,54,1.0,1.0,0.0
10998,104,1.0,43,1.0,1.0,0.0
11069,105,1.0,71,1.0,1.0,0.0
11151,106,1.0,82,1.0,1.0,0.0
11208,107,1.0,57,1.0,1.0,0.0
11328,108,0.0,120,0.0,0.0,0.0
11422,109,1.0,94,1.0,1.0,0.0
11491,110,1.0,69,1.0,1.0,0.0
11539,111,1.0,48,1.0,1.0,0.0
11582,112,1.0,43,1.0,1.0,0.0
11633,113,1.0,51,1.0,1.0,0.0
11689,114,1.0,56,1.0,1.0,0.0
11725,115,1.0,36,1.0,1.0,0.0
11780,116,1.0,55,1.0,1.0,0.0
11835,117,1.0,55,1.0,1.0,0.0
11884,118,1.0,49,1.0,1.0,0.0
11926,119,1.0,42,1.0,1.0,0.0
11968,120,1.0,42,1.0,1.0,0.0
12010,121,1.0,42,1.0,1.0,0.0
12063,122,1.0,53,1.0,1.0,0.0
12112,123,1.0,49,1.0,1.0,0.0
12174,124,1.0,62,1.0,1.0,0.0
12214,125,1.0,40,1.0,1.0,0.0
12255,126,1.0,41,1.0,1.0,0.0
12308,127,1.0,53,1.0,1.0,0.0
12343,128,1.0,35,1.0,1.0,0.0
12380,129,1.0,37,1.0,1.0,0.0
12500,130,0.0,120,0.0,0.0,0.0
12564,131,1.0,64,1.0,1.0,0.0
12600,132,1.0,36,1.0,1.0,0.0
12641,133,1.0,41,1.0,1.0,0.0
12680,134,1.0,39,1.0,1.0,0.0
12725,135,1.0,45,1.0,1.0,0.0
12764,136,1.0,39,1.0,1.0,0.0
12808,137,1.0,44,1.0,1.0,0.0
12858,138,1.0,50,1.0,1.0,0.0
12893,139,1.0,35,1.0,1.0,0.0
12929,140,1.0,36,1.0,1.0,0.0
12973,141,1.0,44,1.0,1.0,0.0
13015,142,1.0,42,0.0,1.0,0.0
