step,episode,ret,len,true_success,classifier_success,interv_frac
32,0,1.0,32,1.0,1.0,0.9375
70,1,1.0,38,1.0,1.0,0.9736842105263158
121,2,1.0,51,1.0,1.0,0.6470588235294118
164,3,1.0,43,1.0,1.0,0.627906976744186
213,4,1.0,49,1.0,1.0,0.8775510204081632
265,5,1.0,52,1.0,1.0,0.7115384615384616
297,6,1.0,32,1.0,1.0,0.90625
331,7,1.0,34,1.0,1.0,0.8823529411764706
364,8,1.0,33,1.0,1.0,0.8181818181818182
401,9,1.0,37,0.0,1.0,0.6756756756756757
436,10,1.0,35,1.0,1.0,0.7428571428571429
472,11,1.0,36,1.0,1.0,0.6944444444444444
542,12,1.0,70,1.0,1.0,0.6714285714285714
584,13,1.0,42,1.0,1.0,0.7380952380952381
629,14,1.0,45,1.0,1.0,0.6444444444444445
672,15,1.0,43,1.0,1.0,0.7674418604651163
725,16,1.0,53,1.0,1.0,0.6415094339622641
776,17,1.0,51,1.0,1.0,0.7450980392156863
826,18,1.0,50,1.0,1.0,0.64
891,19,1.0,65,1.0,1.0,0.47692307692307695
928,20,1.0,37,1.0,1.0,0.8108108108108109
985,21,1.0,57,1.0,1.0,0.40350877192982454
1105,22,0.0,120,0.0,0.0,0.725
1148,23,1.0,43,1.0,1.0,0.7441860465116279
1196,24,1.0,48,1.0,1.0,0.5833333333333334
1231,25,1.0,35,1.0,1.0,0.6857142857142857
1277,26,1.0,46,1.0,1.0,0.6956521739130435
1313,27,1.0,36,1.0,1.0,0.7222222222222222
1373,28,1.0,60,1.0,1.0,0.4
1442,29,1.0,69,1.0,1.0,0.5942028985507246
1495,30,1.0,53,1.0,1.0,0.4528301886792453
1614,31,1.0,119,1.0,1.0,0.42016806722689076
1734,32,0.0,120,0.0,0.0,0.6
1785,33,1.0,51,0.0,1.0,0.49019607843137253
1845,34,1.0,60,0.0,1.0,0.55
1886,35,1.0,41,1.0,1.0,0.6097560975609756
2006,36,0.0,120,0.0,0.0,0.39166666666666666
2112,37,1.0,106,1.0,1.0,0.36792452830188677
2168,38,1.0,56,1.0,1.0,0.44642857142857145
2288,39,0.0,120,0.0,0.0,0.65
2408,40,0.0,120,0.0,0.0,0.5
2495,41,1.0,87,1.0,1.0,0.39080459770114945
2615,42,0.0,120,0.0,0.0,0.6916666666666667
2657,43,1.0,42,1.0,1.0,0.6904761904761905
2717,44,1.0,60,1.0,1.0,0.2833333333333333
2778,45,1.0,61,1.0,1.0,0.4098360655737705
2825,46,1.0,47,1.0,1.0,0.5319148936170213
2908,47,1.0,83,1.0,1.0,0.3132530120481928
3028,48,0.0,120,0.0,0.0,0.475
3092,49,1.0,64,0.0,1.0,0.390625
3212,50,0.0,120,0.0,0.0,0.6
3261,51,1.0,49,0.0,1.0,0.3469387755102041
3381,52,0.0,120,0.0,0.0,0.6166666666666667
3475,53,1.0,94,0.0,1.0,0.26595744680851063
3595,54,0.0,120,0.0,0.0,0.4166666666666667
3647,55,1.0,52,1.0,1.0,0.46153846153846156
3710,56,1.0,63,1.0,1.0,0.4444444444444444
3795,57,1.0,85,1.0,1.0,0.3411764705882353
3915,58,0.0,120,0.0,0.0,0.3333333333333333
3983,59,1.0,68,1.0,1.0,0.35294117647058826
4099,60,1.0,116,1.0,1.0,0.31896551724137934
4219,61,0.0,120,0.0,0.0,0.225
4339,62,0.0,120,0.0,0.0,0.3333333333333333
4459,63,0.0,120,0.0,0.0,0.2833333333333333
4579,64,0.0,120,0.0,0.0,0.25
4699,65,0.0,120,0.0,0.0,0.4
4812,66,1.0,113,1.0,1.0,0.13274336283185842
4886,67,1.0,74,1.0,1.0,0.20270270270270271
4945,68,1.0,59,1.0,1.0,0.3389830508474576
5040,69,1.0,95,0.0,1.0,0.010526315789473684
5097,70,1.0,57,1.0,1.0,0.42105263157894735
5217,71,0.0,120,0.0,0.0,0.13333333333333333
5258,72,1.0,41,1.0,1.0,0.4146341463414634
5311,73,1.0,53,1.0,1.0,0.3018867924528302
5420,74,1.0,109,0.0,1.0,0.14678899082568808
5480,75,1.0,60,1.0,1.0,0.11666666666666667
5516,76,1.0,36,1.0,1.0,0.4444444444444444
5636,77,0.0,120,0.0,0.0,0.13333333333333333
5677,78,1.0,41,1.0,1.0,0.5609756097560976
5771,79,1.0,94,1.0,1.0,0.1702127659574468
5850,80,1.0,79,1.0,1.0,0.3037974683544304
5918,81,1.0,68,1.0,1.0,0.16176470588235295
5996,82,1.0,78,1.0,1.0,0.19230769230769232
6092,83,1.0,96,1.0,1.0,0.3229166666666667
6142,84,1.0,50,1.0,1.0,0.38
6262,85,0.0,120,0.0,0.0,0.13333333333333333
6339,86,1.0,77,1.0,1.0,0.1038961038961039
6459,87,0.0,120,0.0,0.0,0.13333333333333333
6579,88,0.0,120,0.0,0.0,0.11666666666666667
6699,89,0.0,120,0.0,0.0,0.06666666666666667
6740,90,1.0,41,1.0,1.0,0.4878048780487805
6779,91,1.0,39,1.0,1.0,0.20512820512820512
6870,92,1.0,91,1.0,1.0,0.08791208791208792
6933,93,1.0,63,1.0,1.0,0.12698412698412698
6977,94,1.0,44,0.0,1.0,0.36363636363636365
7024,95,1.0,47,1.0,1.0,0.1702127659574468
7076,96,1.0,52,1.0,1.0,0.15384615384615385
7196,97,0.0,120,0.0,0.0,0.0
7247,98,1.0,51,1.0,1.0,0.3137254901960784
7305,99,1.0,58,1.0,1.0,0.41379310344827586
7360,100,1.0,55,1.0,1.0,0.0
7414,101,1.0,54,1.0,1.0,0.18518518518518517
7459,102,1.0,45,1.0,1.0,0.17777777777777778
7509,103,1.0,50,1.0,1.0,0.32
7629,104,0.0,120,0.0,0.0,0.06666666666666667
7673,105,1.0,44,1.0,1.0,0.3409090909090909
7746,106,1.0,73,1.0,1.0,0.0
7795,107,1.0,49,1.0,1.0,0.3673469387755102
7844,108,1.0,49,1.0,1.0,0.16326530612244897
7890,109,1.0,46,1.0,1.0,0.17391304347826086
7941,110,1.0,51,1.0,1.0,0.3137254901960784
7991,111,1.0,50,1.0,1.0,0.16
8053,112,1.0,62,1.0,1.0,0.1774193548387097
8093,113,1.0,40,1.0,1.0,0.225
8146,114,1.0,53,1.0,1.0,0.3018867924528302
8186,115,1.0,40,1.0,1.0,0.2
8247,116,1.0,61,1.0,1.0,0.26229508196721313
