step,episode,ret,len,true_success,classifier_success,interv_frac
34,0,1.0,34,1.0,1.0,0.9411764705882353
84,1,1.0,50,1.0,1.0,0.8
131,2,1.0,47,1.0,1.0,0.6808510638297872
193,3,1.0,62,1.0,1.0,0.6451612903225806
240,4,1.0,47,1.0,1.0,0.851063829787234
301,5,1.0,61,1.0,1.0,0.7540983606557377
379,6,1.0,78,1.0,1.0,0.5897435897435898
420,7,1.0,41,1.0,1.0,0.7804878048780488
471,8,1.0,51,1.0,1.0,0.7843137254901961
538,9,1.0,67,1.0,1.0,0.5373134328358209
583,10,1.0,45,1.0,1.0,0.7111111111111111
630,11,1.0,47,1.0,1.0,0.6808510638297872
696,12,1.0,66,1.0,1.0,0.48484848484848486
738,13,1.0,42,1.0,1.0,0.7142857142857143
798,14,1.0,60,1.0,1.0,0.6166666666666667
856,15,1.0,58,1.0,1.0,0.6724137931034483
931,16,1.0,75,1.0,1.0,0.6266666666666667
985,17,1.0,54,1.0,1.0,0.6666666666666666
1039,18,1.0,54,1.0,1.0,0.6666666666666666
1079,19,1.0,40,1.0,1.0,0.725
1132,20,1.0,53,1.0,1.0,0.7169811320754716
1173,21,1.0,41,1.0,1.0,0.7804878048780488
1239,22,1.0,66,1.0,1.0,0.6060606060606061
1283,23,1.0,44,1.0,1.0,0.7954545454545454
1332,24,1.0,49,1.0,1.0,0.6326530612244898
1370,25,1.0,38,1.0,1.0,0.8157894736842105
1435,26,1.0,65,1.0,1.0,0.5076923076923077
1502,27,1.0,67,1.0,1.0,0.582089552238806
1554,28,1.0,52,1.0,1.0,0.7692307692307693
1608,29,1.0,54,1.0,1.0,0.6481481481481481
1691,30,1.0,83,0.0,1.0,0.4939759036144578
1781,31,1.0,90,0.0,1.0,0.45555555555555555
1840,32,1.0,59,0.0,1.0,0.559322033898305
1896,33,1.0,56,1.0,1.0,0.4642857142857143
1942,34,1.0,46,1.0,1.0,0.6739130434782609
1998,35,1.0,56,1.0,1.0,0.5357142857142857
2057,36,1.0,59,1.0,1.0,0.6440677966101694
2139,37,1.0,82,1.0,1.0,0.5487804878048781
2259,38,0.0,120,0.0,0.0,0.6
2328,39,1.0,69,1.0,1.0,0.463768115942029
2373,40,1.0,45,1.0,1.0,0.6666666666666666
2493,41,0.0,120,0.0,0.0,0.275
2570,42,1.0,77,1.0,1.0,0.42857142857142855
2690,43,0.0,120,0.0,0.0,0.5833333333333334
2737,44,1.0,47,1.0,1.0,0.6382978723404256
2828,45,1.0,91,0.0,1.0,0.27472527472527475
2874,46,1.0,46,0.0,1.0,0.5434782608695652
2969,47,1.0,95,0.0,1.0,0.42105263157894735
3043,48,1.0,74,1.0,1.0,0.3918918918918919
3094,49,1.0,51,0.0,1.0,0.49019607843137253
3144,50,1.0,50,1.0,1.0,0.56
3264,51,0.0,120,0.0,0.0,0.4
3306,52,1.0,42,0.0,1.0,0.5952380952380952
3426,53,0.0,120,0.0,0.0,0.5916666666666667
3485,54,1.0,59,1.0,1.0,0.3559322033898305
3571,55,1.0,86,1.0,1.0,0.2558139534883721
3691,56,0.0,120,0.0,0.0,0.3333333333333333
3811,57,0.0,120,0.0,0.0,0.43333333333333335
3929,58,1.0,118,1.0,1.0,0.1694915254237288
4049,59,0.0,120,0.0,0.0,0.5333333333333333
4116,60,1.0,67,0.0,1.0,0.373134328358209
4236,61,0.0,120,0.0,0.0,0.38333333333333336
4356,62,0.0,120,0.0,0.0,0.2
4476,63,0.0,120,0.0,0.0,0.275
4535,64,1.0,59,1.0,1.0,0.5084745762711864
4655,65,0.0,120,0.0,0.0,0.13333333333333333
4767,66,1.0,112,0.0,1.0,0.22321428571428573
