step,episode,ret,len,true_success,classifier_success,interv_frac
120,0,0.0,120,0.0,0.0,0.0
240,1,0.0,120,0.0,0.0,0.0
360,2,0.0,120,0.0,0.0,0.0
480,3,0.0,120,0.0,0.0,0.0
600,4,0.0,120,0.0,0.0,0.0
720,5,0.0,120,0.0,0.0,0.0
840,6,0.0,120,0.0,0.0,0.0
960,7,0.0,120,0.0,0.0,0.0
1080,8,0.0,120,0.0,0.0,0.0
1085,9,1.0,5,0.0,1.0,0.0
1205,10,0.0,120,0.0,0.0,0.0
1325,11,0.0,120,0.0,0.0,0.0
1445,12,0.0,120,0.0,0.0,0.0
1565,13,0.0,120,0.0,0.0,0.0
1685,14,0.0,120,0.0,0.0,0.0
1805,15,0.0,120,0.0,0.0,0.0
1925,16,0.0,120,0.0,0.0,0.0
2045,17,0.0,120,0.0,0.0,0.0
2165,18,0.0,120,0.0,0.0,0.0
2285,19,0.0,120,0.0,0.0,0.0
2405,20,0.0,120,0.0,0.0,0.0
2525,21,0.0,120,0.0,0.0,0.0
2645,22,0.0,120,0.0,0.0,0.0
2765,23,0.0,120,0.0,0.0,0.0
2885,24,0.0,120,0.0,0.0,0.0
3005,25,0.0,120,0.0,0.0,0.0
3125,26,0.0,120,0.0,0.0,0.0
3245,27,0.0,120,0.0,0.0,0.0
3350,28,1.0,105,1.0,1.0,0.0
3470,29,0.0,120,0.0,0.0,0.0
3590,30,0.0,120,0.0,0.0,0.0
3710,31,0.0,120,0.0,0.0,0.0
3830,32,0.0,120,0.0,0.0,0.0
3950,33,0.0,120,0.0,0.0,0.0
4070,34,0.0,120,0.0,0.0,0.0
4190,35,0.0,120,0.0,0.0,0.0
4310,36,0.0,120,0.0,0.0,0.0
4430,37,0.0,120,0.0,0.0,0.0
4550,38,0.0,120,0.0,0.0,0.0
4670,39,0.0,120,0.0,0.0,0.0
4790,40,0.0,120,0.0,0.0,0.0
4910,41,0.0,120,0.0,0.0,0.0
5030,42,0.0,120,0.0,0.0,0.0
5150,43,0.0,120,0.0,0.0,0.0
5270,44,0.0,120,0.0,0.0,0.0
5390,45,0.0,120,0.0,0.0,0.0
5510,46,0.0,120,0.0,0.0,0.0
5630,47,0.0,120,0.0,0.0,0.0
5750,48,0.0,120,0.0,0.0,0.0
5870,49,0.0,120,0.0,0.0,0.0
5990,50,0.0,120,0.0,0.0,0.0
6110,51,0.0,120,0.0,0.0,0.0
6230,52,0.0,120,0.0,0.0,0.0
6350,53,0.0,120,0.0,0.0,0.0
6470,54,0.0,120,0.0,0.0,0.0
6590,55,0.0,120,0.0,0.0,0.0
6710,56,0.0,120,0.0,0.0,0.0
6830,57,0.0,120,0.0,0.0,0.0
6950,58,0.0,120,0.0,0.0,0.0
7007,59,1.0,57,1.0,1.0,0.0
7057,60,1.0,50,1.0,1.0,0.0
7109,61,1.0,52,0.0,1.0,0.0
7229,62,0.0,120,0.0,0.0,0.0
7349,63,0.0,120,0.0,0.0,0.0
7401,64,1.0,52,1.0,1.0,0.0
7521,65,0.0,120,0.0,0.0,0.0
7641,66,0.0,120,0.0,0.0,0.0
7761,67,0.0,120,0.0,0.0,0.0
7821,68,1.0,60,0.0,1.0,0.0
7941,69,0.0,120,0.0,0.0,0.0
8061,70,0.0,120,0.0,0.0,0.0
8181,71,0.0,120,0.0,0.0,0.0
8243,72,1.0,62,1.0,1.0,0.0
8363,73,0.0,120,0.0,0.0,0.0
8432,74,1.0,69,0.0,1.0,0.0
8552,75,0.0,120,0.0,0.0,0.0
8627,76,1.0,75,1.0,1.0,0.0
8694,77,1.0,67,1.0,1.0,0.0
8772,78,1.0,78,0.0,1.0,0.0
8892,79,0.0,120,0.0,0.0,0.0
8939,80,1.0,47,0.0,1.0,0.0
9059,81,1.0,120,1.0,1.0,0.0
9110,82,1.0,51,1.0,1.0,0.0
9191,83,1.0,81,1.0,1.0,0.0
9294,84,1.0,103,1.0,1.0,0.0
9355,85,1.0,61,1.0,1.0,0.0
9475,86,0.0,120,0.0,0.0,0.0
9536,87,1.0,61,1.0,1.0,0.0
9578,88,1.0,42,1.0,1.0,0.0
9662,89,1.0,84,1.0,1.0,0.0
9733,90,1.0,71,1.0,1.0,0.0
9785,91,1.0,52,1.0,1.0,0.0
9905,92,0.0,120,0.0,0.0,0.0
10025,93,0.0,120,0.0,0.0,0.0
10096,94,1.0,71,1.0,1.0,0.0
10204,95,1.0,108,1.0,1.0,0.0
10243,96,1.0,39,1.0,1.0,0.0
10344,97,1.0,101,1.0,1.0,0.0
10383,98,1.0,39,1.0,1.0,0.0
10433,99,1.0,50,1.0,1.0,0.0
10489,100,1.0,56,1.0,1.0,0.0
10609,101,0.0,120,0.0,0.0,0.0
10659,102,1.0,50,1.0,1.0,0.0
10710,103,1.0,51,1.0,1.0,0.0
10763,104,1.0,53,1.0,1.0,0.0
10883,105,0.0,120,0.0,0.0,0.0
11003,106,0.0,120,0.0,0.0,0.0
11056,107,1.0,53,1.0,1.0,0.0
11176,108,0.0,120,0.0,0.0,0.0
11296,109,0.0,120,0.0,0.0,0.0
11359,110,1.0,63,1.0,1.0,0.0
11479,111,0.0,120,0.0,0.0,0.0
11534,112,1.0,55,1.0,1.0,0.0
11576,113,1.0,42,1.0,1.0,0.0
11620,114,1.0,44,1.0,1.0,0.0
11685,115,1.0,65,1.0,1.0,0.0
11729,116,1.0,44,1.0,1.0,0.0
11849,117,0.0,120,0.0,0.0,0.0
11889,118,1.0,40,1.0,1.0,0.0
11927,119,1.0,38,1.0,1.0,0.0
12047,120,0.0,120,0.0,0.0,0.0
12081,121,1.0,34,1.0,1.0,0.0
12152,122,1.0,71,1.0,1.0,0.0
12185,123,1.0,33,1.0,1.0,0.0
12236,124,1.0,51,1.0,1.0,0.0
12280,125,1.0,44,1.0,1.0,0.0
12360,126,1.0,80,1.0,1.0,0.0
12427,127,1.0,67,1.0,1.0,0.0
12494,128,1.0,67,1.0,1.0,0.0
12525,129,1.0,31,1.0,1.0,0.0
12565,130,1.0,40,1.0,1.0,0.0
12606,131,1.0,41,1.0,1.0,0.0
12642,132,1.0,36,1.0,1.0,0.0
12680,133,1.0,38,1.0,1.0,0.0
12720,134,1.0,40,1.0,1.0,0.0
12765,135,1.0,45,1.0,1.0,0.0
12821,136,1.0,56,1.0,1.0,0.0
12858,137,1.0,37,1.0,1.0,0.0
12889,138,1.0,31,1.0,1.0,0.0
12921,139,1.0,32,1.0,1.0,0.0
12956,140,1.0,35,1.0,1.0,0.0
12988,141,1.0,32,1.0,1.0,0.0
13028,142,1.0,40,1.0,1.0,0.0
